,Brand_Audi,Brand_BMW,Brand_Fiat,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Jaguar,Brand_Land,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mitsubishi,Brand_Nissan,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Fuel Type_Diesel,Fuel Type_Petrol,TransmissionType_Manual,Body Type_Convertible,Body Type_Coupe,Body Type_Hatchback,Body Type_Minivan,Body Type_Pickup Truck,Body Type_SUV,Body Type_Sedan,ARAI Mileage,Engine Displacement (cc),No. of cylinder,Max Power (kW),Max Torque (Nm),Seating Capacity,Fuel Tank Capacity,Power Steering,Power Windows Front,Anti Lock Braking System,Air Conditioner,Driver Airbag,Passenger Airbag,Automatic Climate Control,Fog Lights - Front,Alloy Wheels,Price,Ground Clearance Unladen
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.56,1197.0,4.0,65.99445,113.0,5.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,751000.0,689.2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.01,998.0,3.0,73.593133,147.6,5.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1029500.0,204.0952380952381
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.8,1462.0,4.0,75.80040500000001,136.8,5.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1121500.0,204.0952380952381
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.61,1197.0,4.0,65.99445,113.0,5.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,795000.0,174.25
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.39,1462.0,4.0,77.09792300000001,134.2,4.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1389500.0,210.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.43,1197.0,4.0,65.99445,113.0,5.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,648000.0,689.2
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.24,1987.0,4.0,111.996683,188.0,7.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2660500.0,182.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.85,998.0,3.0,41.699544,82.1,4.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,497499.99999999994,689.2
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.27,1462.0,4.0,75.80040500000001,136.8,6.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1319000.0000000002,182.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.73,998.0,3.0,41.699544,82.1,4.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,518999.99999999994,689.2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.08,1462.0,4.0,67.99292600000001,122.0,7.0,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1022500.0,182.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.05,796.0,3.0,35.293981,69.0,5.0,35.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,420000.0,689.2
